id,Title,Content,Date,Categorieën,Tags
5,"De Praattafel #01","In de '<a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/De-Praattafel-01.mp3"">De Praattafel</a>' bespreken we wat we de afgelopen tijd gezien hebben, wat we nog willen zien en nog veel meer. Pas wel op want er komen af en toe spoilers voor.

*SPOILER ALERT*
- No Country for Old Men (2007)
- House of Cards - Seizoen 3 (2015)
- Homeland - Seizoen 3 (2013)
- The Walking Dead - Seizoen 3 (2012)",20160406,"De Praattafel",podcast
11,"Review #01 | The Revenant","In deze aller aller eerste <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/The-Revenant.mp3"">aflevering</a> van Filmerds bespreken Pim, Henk en Sander The Revenant!",20160330,Reviews,podcast
14,"Review #02 | The Hateful Eight","In <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/The-Hateful-Eight-Nederlandse-review.mp3"">deze aflevering</a> bespreken Pim, Sander en Henk The Hateful Eight van Quentin Tarantino met Samuel L. Jackson, Kurt Russell en Jennifer Jason Leigh.",20160402,Reviews,podcast
16,"Review #03 | Batman v Superman: Dawn of Justice","In deze <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Filmerds-Review-03-Podcast.mp3"">review</a> geven Henk, Guus en Sander hun opgezouten mening over Batman v Superman: Dawn of Justice van Zack Snyder.",20160409,Reviews,podcast
39,"Review #04 | Star Wars: Episode VII - The Force Awakens","18 april ligt het gloednieuwe deel uit de Star Wars saga van regisseur J.J. Abrams in de winkels. Pim, Henk en Sander gebruiken de gelegenheid om hun mening te geven over <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-04-Star-Wars-the-Force-Awakens.mp3"">Star Wars: Episode VII - The Force Awakens</a>.",20160413,Reviews,podcast
50,"De Praattafel #02","Deze keer zitten Henk, Gina, Sander en Pim aan de praattafel! Tijdens deze aflevering komen onder andere The Walking Dead, The Martian, Game of Thrones, Slow West en Seth McFarlane <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/De-Praattafel-02-The-Martian-Game-of-Thrones-Slow-West-en-meer.mp3"">ter sprake</a>.

*SPOILER ALERT*
- Daredevil (2015) | Seizoen 2
- The Martian (2015)
- Game of Thrones (2011) | Seizoen 5
- Slow West (2015)",20160416,"De Praattafel",podcast
54,"Review #05 | Deadpool","Dit keer <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Filmerds-Review-05-Podcast.mp3"">bespreken</a> Guus, Gina en Henk de Marvel knaller Deadpool!",20160420,Reviews,podcast
57,"Review #06 | Spectre","In deze review <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Filmerds-Review-06-Podcast.mp3"">bespreken</a> Henk, Pim en Sander de nieuwste Bond film met Daniel Craig als 007, Spectre.",20160423,Reviews,podcast
62,"Terugblik | Game of Thrones Seizoen 5","Pim, Sander en Henk <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Filmerds-GoT-Podcast.mp3"">bespreken</a> nog even alles wat er vooraf gebeurden voordat we met z'n allen seizoen 6 van Game of Thrones induiken.",20160425,Terugblik,podcast
66,"Voorbeschouwing #01 | Rogue One, Doctor Strange, Jason Bourne en The BFG","In de nieuwe sectie ""Voorbeschouwing"" <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Filmerds-Voorbeschouwing-01-Podcast.mp3"">bespreken</a> Sander, Pim en Henk vier interessante trailers die de afgelopen tijd zijn uitgekomen. Deze keer komen Doctor Strange, Jason Bourne, Rogue One A Star Wars Story en The BFG langs.",20160430,Voorbeschouwing,podcast
